ABBAGNANO	アバニャーノ
SKRZYPCZAK	スクリュプチャク
SKY	スカイ
SLAVEJKOV	スラベイコフ
SLAVICI	スラビチ
SLAYTON	スレイトン
SLIM	スリム
SLOVENIA	スロベニア
SMETANA	スメタナ
SMILLIE	スマイリー
SMITH	スミス
SMURA	スムラ
SMYTHSON	スマイズソン
SNEATH	スニース
SNEIDER	スナイダー
SNELSON	スネルソン
SOBELL	ソベル
SOBINOV	ソビノフ
SOBRERO	ソブレーロ
SOBRINO	ソブリノ
SOFFICI	ソッフィーチ
SOKOLOV	ソコロフ
SOLAL	ソラル
SOLE	ゾーレ
SOLMAN	ソルマン
SOLOMIN	ソローミン
SOLOMONS	ソロモン
SOLOVYOV	ソロビヨフ
SOMER	ゾマー
SOMERS	サマーズ
SOMMERFIELD	ソマーフィールド
SONNINO	ソンニーノ
SOOTHILL	スットヒル
SORAL	ソラル
SORBON	ソルボン
SOUFFLOT	スフロー
SOURDOUGH	サワードゥ
SOUTHALL	サウスオール
SOYER	ソイヤー
SOYINKA	ショインカ
SOZIN	ゾーチン
SPALDING	スポールティング
SPARGO	スパーゴ
SPEED	スピード
SPERRY	スペリー
SPETH	スペス
SPICER	スパイサー
SPIEGEL	スピーゲル
SPINK	スピンク
SPIRIN	スピーリン
SPITSYN	スピツイン
SPOFFORD	スポッフォード
SPRAT	スプラット
SPRENGER	シュプレンガー
SPRIGG	スプリッグ
SPROULL	スプロール
SPROUT	スプラウト
SPRUANCE	スプルーアンス
SPURGEON	スパージョン
SQUILLACE	スキラーチェ
STADER	シュターダー
STAFFAN	スタファン
STAMMLER	シュタムラー
STANGOS	スタンゴス
STANSFIELD	スタンズフィールド
STASOVA	スターソワ
STAUFFER	ストーフェール
STAUNING	シュタウニング
STEFAN	シュテファン
STEFANATO	ステファナート
STEGLICH	シュテークリヒ
STEHLE	シュテーレ
STEHLING	スティーリング
STEINGRUBER	シュタイングルーバー
STEINHARDT	スタインハート
STEINLE	シュタインレ
STEINTHAL	シュタインタール
STEPHANI	シュテファーニ
STERLING	スターリング
STERNE	スターン
STEURER	シュトイラー
STITT	スティット
STOCK	ストック
STOCKHAUSEN	シュトックハウゼン
STODOLA	ストドラ
STOKOWSKI	ストコフスキー
STONE	ストーン
STONEHENGE	ストーンヘンジ
STONIER	ストーニャー
STOWE	ストウ
STRACHAN	ストローン
STRAMIGIOLI	ストラミジョリ
STRANGE	ストレンジ
STRASZEWICZ	ストラシェビチ
STREFFER	ストレッファー
STREICH	シュトライヒ
STREITBERG	シュトライトベルク
STREVENS	ストレブンズ
STRIKE	ストライク
STROOF	シュトローフ
STROSS	シュトロース
STRUM	ストルム
STRUNK	ストランク
STUCLEY	スタクリー
STUNKARD	スタンカード
STURM	ステュルム
SUCHER	サッチャー
SUDAN	スーダン
SUDBURY	サドベリー
SUDHOF	ズートホフ
SUDREAU	シュードロー
SUGDEN	サグデン
SULEIMAN	スレイマン
SUMMERSON	サマーソン
SUNKEL	スンケル
SURMAN	サーマン
SURREY	サリー
SUSAN	スーザン
SUSANNAH	スザンナ
SUSANNE	ズザンヌ
SUTHERLAND	サザーランド
SUZAN	シュザン
SWEDENBORG	スウェデンボルグ
SWEENY	スウィーニー
SYLVAIN	シルバン
SYLVIA	シルビア
SYLVIO	シルビオ
SZAMOSI	サモシ
SZCZESNIAK	シチェスニアク
SZMIDT	シュミット
TABOR	タボール
TAILOR	テイラー
TALLAHASSEE	タラハシー
TAN	タン
TANIN	ターニン
TANNER	タネール
TANSKY	タンスキー
TAPPAN	タッパン
TARASENKO	タラセンコ
TARMO	タルモ
TASSINARI	タッシナーリ
TASSOPULOS	タッソプロス
TAUSINGER	タウジンガー
TAVIANI	タビアーニ
TAVRIZIAN	タブリジアン
TEAM	ティーム
TEKOAH	テコア
TELFORD	テルフォード
TEMES	テムズ
TENAILLE	トゥナイユ
TENNIEL	テニエル
TERRELL	テレル
TETENS	テーテンス
THADDEUS	タデウス
THAL	サール
THEILE	タイレ
THEO	セオ
THEUNIS	トゥニス
THOMSEN	トムセン
THOMTE	トムティー
THORNDIKE	トルンダイク
THORNLEY	ソーンレイ
THORSON	トーソン
THOU	トゥー
THRASHER	スラッシャー
THUILLIER	チュイリエ
TIEMPO	ティエンポ
TIFFIN	ティフィン
TILDEN	ティルデン
TILLER	ティラー
TILMAN	ティルマン
TINA	ティナ
TIZIANA	ティツィアーノ
TOA	トーア
TODT	トート
TOIVO	トイボ
TOKAR	トウカー
TOLLE	トリー
TOMAS	トマス
TONSON	トンソン
TOOMBS	トームス
TORRENS	トレンズ
TORRY	タリー
TOSCANELLI	トスカネリ
TOULET	トゥーレ
TOUREL	トゥーレル
TOURVILLE	トゥルビル
TOWER	タワー
TOWNS	タウンズ
TRAIKOV	トライコフ
TRAUBEL	トローベル
TRAUTWINE	トラウトワイン
TRAVERS	トラバーズ
TREGER	トレガー
TREITSCHKE	トライチュケ
TREXLER	トレクスラー
TRIFONOV	トリーフォノフ
TRIPOLI	トリポリ
TRYGVE	トリグベ
TSYGANOV	ツィガノフ
TUCK	タック
TUFFIER	テュフィエ
TUNIS	チュニス
TUNISIA	チュニジア
TURATI	トゥーラーティ
TURK	ターク
TURPIN	ターピン
TWARDOWSKI	トワルドーフスキー
TYNAN	タイナン
ULLMAN	ウルマン
UNNA	ウンナ
UNNERSTAD	ウンネルスタード
UPDIKE	アップダイク
URMILA	ウルミラ
URQUHART	アーカート
USHER	アッシャー
UWE	ウーベ
UZBEKISTAN	ウズベキスタン
VACHEK	バヘク
VAD	バート
VALASEK	バラセク
VALKOV	ボルコフ
VANCE	ヴァンス
VANDENBERG	バンデンバーグ
VANETTI	バネッティ
VANHECKE	バネック
VANZETTI	バンゼッティ
VARENIUS	ワレニウス
VARGAS	バーガス
VASARI	バサリ
VASCONCELLOS	バスコンセロス
VASCONCELOS	バスコンセロス
VASSOS	バッサス
VERDUN	ヴェルダン
VERE	ビアー
VERENDRYE	ベランドリー
VERHAEREN	ベルハアラン
VERI	ベリ
VERMIGLI	ウェルミーリ
VERROCCHIO	ベロッキョ
VERTOV	ベルトフ
VERWOERD	フルウールト
VESEY	ビージー
VEUILLOT	ブイヨ
VEVERS	ベバーズ
VICK	ビック
VICKERS	ビッカース
VICTORIAVILLE	ビクトリアヴィル
VIDA	ビーダ
VIEBIG	フィービヒ
VIGOLO	ビーゴロ
VILE	ビル
VILELA	ビレラ
VILLA	ビルラ
VILLARET	ビラレ
VILMORIN	ビルモラン
VINCENZO	ビンチェンツォ
VINES	バインズ
VINGE	ビンジ
VIRCHOW	ウィルヒョウ
VIRKKALA	ウィルッカラ
VISSCHER	フィッシェル
VISSER	フィセル
VOGLER	フォーグラー
VOLKONSKAYA	ボルコーンスカヤ
VOLKOV	ボルコフ
VOLTAIRE	ボルテール
VONDEL	フォンデル
VORONIN	ボローニン
WACKENRODER	ワッケンローダー
WAITZ	ワイツ
WAKELEY	ウェイクリー
WALESA	ワレサ
WALLACH	ウォラック
WALLIN	ワーリン
WALLINGTON	ウォーリントン
WALLIS	ウォリス
WALSHE	ウォールシュ
WALTER	ワァルター
WALZEL	ワルツェル
WAND	バント
WANGERIN	ワンジェリン
WARBECK	ウォーベック
WARMING	ワルミング
WARN	ウォーン
WARREN	ワレン
WARTON	ウォートン
WASLEY	ウォズレイ
WASSON	ワッソン
WATKINS	ワトキンス
WATT	ワット
WAUCHOPE	ウォーカップ
WAUGH	ウォー
WAY	ウェー
WAYLAND	ウェイランド
WEATHERILL	ウェザリル
WEATHERS	ウェザーズ
WEENIX	ウェーニクス
WEILENMANN	バイレンマン
WEIMANN	バイマン
WEINBRENNER	ワインブレンナー
WEINHEBER	ワインヘーバー
WEINRICH	ワインリヒ
WEISKOPF	ワイスコフ
WEISMANTEL	ワイスマンテル
WEISZ	ワイス
WEITS	ワイツ
WENIG	ベニヒ
WERNICK	ワーニック
WESTERGREN	ウェステルレイン
WESTMORELAND	ウェストモーランド
WESTON	ウェストン
WEXLER	ウェクスラー
WEYRAUCH	ワイラウフ
WHEATER	ホイーター
WHEELER	ホイラー
WHERRY	ウェリィ
WHITING	ホワイティング
WHITLAM	ホイットラム
WIARDA	ウィーアルダ
WICHEREK	ウィヘレク
WIEBER	ウィーバー
WIECHERT	ウィーヘルト
WIEDEMANN	ウィーデマン
WIEGNER	ウィーグナー
WIEMER	ウィーマー
WIESMEIER	ビースマイアー
WIGHTMAN	ワイトマン
WILKS	ウイルクス
WILLIE	ウィリー
WILLISTON	ウィリストン
WILLM	ウェルム
WILLMAN	ウィルマン
WILLOUGHBY	ウィロビ
WILTSHIRE	ウィルトシャー
WIMMER	ウィンマー
WINDHEIM	ウィンドハイム
WINES	ワインズ
WINGS	ウィングズ
WINKELMAN	ウィンケルマン
WINN	ウィン
WINSTON	ウィンストン
WINTRINGHAM	ウィントリンガム
WIRTHLIN	ウィルスリン
WISHART	ウィシャート
WISNIEWSKA	ウィスニエフスカ
WISSEL	ウイッセル
WITHERSPOON	ウィザースプーン
WITKE	ウィトケ
WITNESS	ウイットネス
WITTELSBACH	ウィッテルスバッハ
WITTEVEEN	ウィッテフェーン
WITTGENSTEIN	ウィトゲンシュタイン
WITTLIN	ウィトリン
WOESTE	ウースト
WOFFINGTON	ウォフィングトン
WOLD	ウォルデ
WOLE	ウォーレ
WOLFORD	ウルフォード
WOLFSTHAL	ウォルフスタール
WOLKE	ウォルケ
WOODIN	ウッドン
WOODS	ウーズ
WOOLDRIDGE	ウイドリッジ
WOOLLAM	ウォーラム
WOOLNER	ウルナー
WORDSWORTH	ワーズワス
WORM	ウォルム
WORSLEY	ワースレイ
WORTIS	ウォルティス
WUCHERPFENNIG	ウーハーペニヒ
WURZBACH	ブュルツバッハ
WYLER	ワイラー
WYMER	ワイマー
WYNDHAM	ウインダム
WYNNE	ワイン
WYNTER	ウィンター
XENOPHON	クセノフォン
YABLONSKY	ヤブロンスキー
YAHYA	ヤヒヤ
YANES	ヤーネス
YANKELOVICH	ヤンケロビッチ
YANSHIN	ヤンシン
YAZDI	ヤズディ
YEOMAN	ヨーマン
YOGI	ヨーギ
YORKTOWN	ヨークタウン
YOULOU	ユール
YURENEV	ユレーネフ
ZABLOCKI	サブロッキ
ZACHARIADES	ザカリアデス
ZAHEDI	ザーヘディー
ZANDIN	サンディン
ZANE	ゼーン
ZANNINI	ザンニーニ
ZARB	ザーブ
ZAUN	ツァウン
ZDENEK	ズデネク
ZECKENDORF	ゼッケンドルフ
ZEFFIRELLI	ゼフィレッリ
ZELENKA	ゼレンカ
ZENATELLO	ゼナテルロ
ZENGER	ゼンガー
ZHEBELYOV	ジェベリョーフ
ZHELEZNIKOV	ジェレーズニコフ
ZHISLIN	ジスリン
ZINK	ツィンク
ZINZENDORF	ツィンツェンドルフ
ZOLLER	ゾラー
ZORRILLA	ソリーリャ
ZORZA	ゾルザ
ZOSHCHENKO	ゾシチェンコ
ZUBIRI	スビリ
ZURLINI	ズルリーニ
ZVORYKIN	ズボルィキン
ZWERGER	ツベルガー
